"TF","gene_type","importance"
"ap","NP",68.6095120019202
"Awh","NP",87.9217306886297
"bru3","NP",74.2087627874258
"CG12116","NP",93.3415354695653
"CG44422","NP",96.2461714236376
"ct","NP",102.533806456357
"dimm","NP",63.6094508339908
"disco","NP",47.7291738735136
"ey","NP",129.319245500613
"hbn","NP",63.242681155062
"Hr38","NP",63.6723308317741
"Lim3","NP",64.8336586783732
"lz","NP",68.6402607615311
"oc","NP",72.5995812912142
"orb","NP",202.539608747834
"pdm3","NP",60.0364080741452
"peb","NP",56.0160153168671
"Poxn","NP",76.0594483831712
"pros","NP",52.4785087357811
"Rbp6","NP",51.5882139961112
"retn","NP",96.9423763535026
"scro","NP",90.4868422394952
"srp","NP",64.4513399887225
"svp","NP",57.3191711690535
"teq","NP",80.0368818316371
"trv","NP",63.7813535006056
"Vmat","NP",48.9954861365042
"ap","NPR",64.4084756159876
"Awh","NPR",81.321875004981
"bi","NPR",73.7238613599572
"bru3","NPR",80.8120814808683
"bsh","NPR",74.0415740785769
"CG44422","NPR",137.613882486274
"cnc","NPR",77.2546701772892
"ct","NPR",111.487798712287
"dar1","NPR",61.0443586746627
"Dfd","NPR",67.8598455108207
"disco","NPR",47.8298904960582
"Drgx","NPR",54.1468714561707
"dve","NPR",98.6890740226397
"Eip93F","NPR",127.715559880299
"erm","NPR",148.488094904918
"Ets65A","NPR",47.9131479555094
"foxo","NPR",106.808260316372
"fus","NPR",66.3638037156467
"grh","NPR",67.3775561025857
"grn","NPR",101.214129357581
"hbn","NPR",64.6668078132071
"klu","NPR",47.7489996289698
"knrl","NPR",47.6487562005975
"Lim1","NPR",64.8701324479848
"NFAT","NPR",73.4807800203582
"orb","NPR",105.111704528886
"pan","NPR",62.1194743301444
"pdm3","NPR",75.9248383009368
"pnr","NPR",86.1349211605569
"Rbp6","NPR",80.6441368833813
"rib","NPR",53.2584945305174
"scro","NPR",61.712248850482
"shn","NPR",48.5276668698661
"sim","NPR",59.9580313624768
"SoxN","NPR",51.5410101866423
"sqa","NPR",72.0781326557777
"srp","NPR",76.7374258395516
"Strn-Mlck","NPR",93.1188981324763
"svp","NPR",61.348661030028
"Zasp52","NPR",109.460066678253
"zfh2","NPR",57.9438772534381
